Review,Classification
 ممتازة ,positive
 جزاكم الله خير آل سعود وحكومة خادم الحرمين على ما تبذلوه من مجهود فى خدمة المواطن والمقيم ,positive
 جيد وحلو ,positive
 جميل ,positive
 تجربة جيدة ,positive
 خدمة رائعة جزاكم الله خيرا ,positive
 تجربه جيده موفقين دائما أن شاء الله ,positive
 تحت التجربه ,negative
 جيد ,positive
 رائعة جدا ,positive
 بارك الله فيكم. والله لكم كل الشكر والتقدير والاحترام. ,positive
 شكرا لكم على ما تقدمون ,positive
 خدمة أكثر من ممتازة، ورقي في التعامل. حفظكم الله وجزاكم عنّا خير الجزاء. ,positive
 ممتاز جدا وعملي وسهل ,positive
 سهلة وسريعة التطبيق ممتاز جداً ,positive
 ممتازة ,positive
 • نظافة المكان جدا رائع • افضل شي انهم ملتزمون بالحجز المسبق ,positive
 الله يوفقكم ويفتح عليكم جهود جبارة وريحتونا كثير من الزحمة والطابور شكرا شكرا لكم ,positive
 ممتاز جداً ,positive
 أتمنى تسهيل تجربة المستخدم وزيادة الذكاء البرمجي ,positive
 فعلا تطبيق مريح وممتع وسهل حفظكم الله ورعاكم ,positive
 جزاكم الله خير الجزاء على الاهتمام للمواطنين والمقيمين ,positive
 روعة ممتاز جدا ,positive
 ممتاز وعملي وسهل الاستخدام ,positive
 ممتاز جداً ✌️ ,positive
 ممتاز وسهل وأنصح الجميع بتحميل البرنامج أو من منصه نفاد ,positive
 ممتازة جداً جداً والى الامام قدما ,positive
 ممتاز جدا وسهل الاستخدام الله يوفقكم ,positive
 رائعة جدا ونرى تطور افضل من فترة لاخرى في وزارة الصحة ونتمى لهم التوفيق ,positive
 ممتاز وشكرا ,positive
 ممتاز والله يجزاهم خير ,positive
 في غاية الروعة والجمال ,positive
 ممتاز الله يعز حكومتنا. ورجال القائمين على خدمتنا ,negative
 شكرا ,positive
 شكرا تطبيق جيد جدا جدا ,positive
 شكرا لكم جميعا موظفي وزارة الصحة وكل عام وانتم بخير 💚💚💚 ,positive
 اصبح التطبيق اسهل وبه مكان التقييم الزاتي ,negative
 انا ابا اكشف عن نفسي بس ان تطبييق موراضي يكشف عنييي😔😔😔😔😔😔😔😔😔😔 ,negative
 ممتاز ممتاز ممتاز بكل يسر وسهولة تم ححز موعد تطعيم ,positive
 جداً ممتاز ، جزا الله القائمين علؤه خير الجزاء ,positive
 روعة ,positive
 ممتاز جدًا .. سهل الاستخدام واضح وغير معقد .. قوّاهم الله ,positive
 ممتاز وبرانامج مفيد جداااا ,positive
 احسنتم ,positive
 اذكر صالح تركافر و ل٣تل به و سا و تن حريشعربهدع طلع ✨🦁كل الاسود حر والضلالحروكس مع سحر و يضعهم و يقويمافيجيو😈✌️🕋🧭🌙🌞🌜👹✌️ ,neutral
 تطبيق جيد ومفيد ,positive
 جميل ,positive
 كويس ,positive
 تطبيق مهم جداً و يكفيك مشقة الإنتظار .. شكراً للقائمين على وزارة الصحة . ,positive
 ممتازة ,positive
 لل ,negative
 شكرا وزارة الصحة على هذا التطبيق الذي اختصر علينا كثير من الامور . متمني لكم المزيد من التقدم .. ,positive
 سهل الاستخدام وممتاز جدا اشكركم ,positive
 ممتاز شكرا للقائمين عليه ,positive
 تطبيق ممتاز الله يعطيكم العافية على المجهود الذي تبذلوه و على الرقي في التعامل ,positive
 جميل ونسأل الله التوفيق للقائمين على هذا العمل واتمنى توفير ايقونة تحديث بيانات المواطن لتغيير الجوال وطرق التواصل ,positive
 برنامج طيب ومفيد جدا اشكركم على هذا البرنامج ,positive
 شكرا ,positive
 تطبيق ممتاز جدا جدا ,positive
 تطبيق ممتاز وسهل ,positive
 تطبيق رائع ,positive
 ممتاز ربنا يوفقكم ,positive
 برنامج رائع وسهل ,positive
 جزاكم الله كل خير برنامج ممتاز ,positive
 بارك الله فيك ,positive
 ممتاز أنصح بتحميله شكرا للعاملين على سلامتنا وراحتنا ,positive
 موفقين ,positive
 جميل ,positive
 ممتازة ,positive
 بارك الله في جهودهم ... جهود تُذكر ف تُشكر ,positive
 جزاكم الله خيراً ,positive
 ممتازة ,positive
 الله يوفقكم ممتازين ,positive
 ممتاز جدا ولكم جزيل الشكر ,positive
 نشكركم على هذا العمل الجيد وفقكم الله ,positive
 رائعة ,positive
 خدمه ممتازه شكرا لوزارة الصحة. ,positive
 تطبيق جميل ,positive
 تجربتي للتطبيق جدا سهل وخطوه ممتازه لتسهيل الصعوبات امام المستفدين من وزارة الصحه ,positive
 تطبيق ممتااااااز جدأ اختصار الوقت والجهد شكر خاص على القائمين على هذا التطبيق وجزاكم الله خير الجزاء👍👍👍👍👍 ,positive
 كويس 😎 ,positive
 رائع جداً وسهل الاستخدام ,positive
 رائعة ومريحة جدا جدا ,positive
 تطبيق رائع ,positive
 مرتب وخفيف التصفح ,positive
 ممتاز جدا ونشكركم على جهودكم ,positive
 رائع شكرا جزيلا. ,positive
 بارك ,positive
 تحديث جميل ورائع وسهل الله يوفقكم ويسعدكم يارب ,positive
 جميل ,positive
 سهولة الاستخدام .. ممتاز ,positive
 شكراً للأمانه التطبيق يفوق الوصف شكراً وزارة والصحة ومنسوبيها تستحقون كل التقدير والاحترام لما تقدمون للوطن والمواطن من أعمال جليلة وفقكم الله ورعاكم فوق كل ارض وتحت كل سماء ,positive
 فنان ,positive
 ممتاز احيانأ ,positive
 حجز موعد تطعيم اطفال ,neutral
 برنامج جميل جداً ,positive
 لايستجب احيانا ,negative
 تطبيق ممتاز ,positive
 ممتاز و خدمة مميزة ,positive
 مشاءالله حقيقه من افضل التطبيقات ,positive
 ممتاز وسهل ودقيق.. شكرا وزارة الصحة. بس ياليت توفرون مواعيد الأسنان لأنها مغلقة تماما 😞 ,neutral
 تطبيق سهل ومفهوم من ناحية الاستخدام و جيد ومختصر للوقت عن طريق حجز الموعد بشكل سلس ,positive
 خدمه جيده للتواصل من خلالها مع الفريق الطبي المختص ,positive
 ممتاز جدا و فيه تطور بأستمار ,positive
 ممتازة ,positive
 ماشاءالله تطبيق رائع ,positive
 ممتازة ,positive
 جيد تمام ,positive
 بارك الله في جهودكم ,positive
 أختياري ,positive
 ياريت تغير كلمة تابع اخر بي مضاف اخر ,negative
 جميل وابداع ,positive
 تطبيق مفيد و مريح ,positive
 ممتاز ومريح ,positive
 ممتاز جدا الله يعطيكم العافيه ,positive
 ارغب في حجز موعد للوالده ولم اتمكن من ادخال اسم الوالده او بياناتها كيف الطريقه ,neutral
 جدعان ,negative
 ممتاز وجزاكم الله خير.. ,positive
 جميل جداً ويوفر عليك الوقت والجهد ,positive
 التطبيق سهل الاستخدام ، ويرجى اتاحة خيار موعد لمن لدية ادوية بالحقن بشكل دوري لعدة ايام ,neutral
 تطبيق مفيد جداً ,positive
 التطبيق ممتاز جدا وسهل ,positive
 رائع جدا وتشكر عليه وزارة الصحة ,positive
 جدا ممتازة ,positive
 الترجبخ ممتازه جدا وسهله ,positive
 رائع مع انتظار تطور اكبر خاصة في إظهار جميع العيادات للتمكن من الحجز المباشر بدون الرجوع لعيادة الأسرة مثل : إظهار عيادة الأمراض المزمنة ,positive
 تطبيق جميل جدا ,positive
 ممتاز وواضح ,positive
 مفيد جدا ممتاز ,positive
 ممتاز ممتاز جداً جداً يقتصر عليك الوقت ويريحك من مراجعة المستشفيات لطلب مواعيد وتختار موعدك حسب ظروفك وبالساعة اللي تريد . اسأل الله ان يوفق القائمين عليه وان يحفظ وطننا وقيادتناوان يديم علينانعمة الأمن والأمان وأن يحمي حدودنا وينصر جنودنا. وان يحفظ أبـطــال الصحـة ويعينهم كما أسأل الله ان يرفع عنا هذا الوباء انه على كل شيء قدير ولكم تحياتي ,positive
 الله يعز السعودية سهلت لنا كل شي ,positive
 رائعة ,positive
 ممتازة ,positive
 رائع جهد يستحق الشكر شكرا وزارة الصحه لقد ساهم في توفير الوقت والجهد وايضا الالتزام وتخفيف الزحام على المراكز الصحية بشكل منظم ومرتب ,positive
 ممتاز جدا والحمد لله على هذا التطور والعمل بالتكنلوجياء ,positive
 من لا يشكر الناس لا يشكر الله. شكر وزارة الصحة على هذا التطبيق. جزاكم الله خيرا يستحق 🏅 ,positive
 تطبيق ممتازة وسهل شكرا لكم ,positive
 تطبيق سهل وممتاز ,positive
 وفقكم الله ,positive
 شكرا على جهودكم ممتاز ,positive
 نشكر لكم جهودكم المبذوله صراحه شي مميز ,positive
 يحتاج اضافة ساعة مع التاريخ لمعرفة الوقت ,neutral
 جيد ,positive
 حجز موعد بكل سهوله ,positive
 جهد مميز وجبار، هنيئا للمملكة العربية السعودية هذا التطور المميز 👍👍👍💚 ,positive
 تجربتي كويسه مع موعد شكرأ وزارة الصحه ,positive
 ممتاز جدا وتطبيق سهل وخدمه رائعه وشكرا للقائيمين عليه ,positive
 الاستقبال والتعامل رائع ,positive
 شكرا الصحه ,positive
 تطبيق أكثر من رائع ميزته.. سهل الاستخدام وسريع ويختصر كثير من الوقت وأيضا توجد مواقع جميع المراكز الصحية الموجودة في المنطقة وبالخريطة يعني تبين كم تبعد عنك وأول ما حجزت جاتني رسالة ع جوالي بالموعد نفسه.. شي تاني التسجيل بالتطبيق يكون عند طريق حسابك في ابشر يعني ما يحتاج تدخل بيانات .. اشكركم جزيل الشكر ,positive
 اكثر من رائع ,positive
 رائع جدا أتمنى أن يطور البرنامج أكثر بحيث أستطيع حجز مواعيد المستشفى من خلاله... للقائمين والمسؤولين في وزارة الصحة شكرا لكم بحجم المملكة العربية السعودية. ,positive
 جيدة ,positive
 ممتاز جدا وافادنا في حياتنا وجعلها سهله شكرا لكم ,positive
 ممتاز جدآ وجزاكم الله خير ,positive
 تمام ,negative
 النظام ممتاز ,positive
 جميل جداً جداً ,positive
 لا يمكن الا ان اقول شكرآ وزارة الصحه من اعماق قلبي ,positive
 الي يسهل وييسر على المسلمين يسهل الله عليه ,positive
 سهل وممتاز في التعامل ,positive
 الله يسعدكم خدمه ممتازه جدا ,positive
 وفقكم الله ,positive
 أنصح به ,positive
 رائع جدا الله يجزاكم الجنة ,positive
 سهل الاستخدام ,positive
 تجربة مريحة ,positive
 روعة جدا وجبار الوقت متاح بالساعة المحددة للحضور حسب والمتابعة والتقييم بعد الموعد شي جميل جدا ولوكني من اوائل من استخدم التطبيق بالفعل اقدر اقول نجح بال اكتسح للأمام دائما ولو فيه أكثير من خمس نجوم فهو يستحق ,positive
 تطبيق ممتاز ,positive
 موقع ممتاز جدا ,positive
 ممتاز جدأ ,positive
 شكراََ وزارة الصحة ,neutral
 مريح ويوفر الحوكمة الرقمية . ذات تميز ,positive
 شكرا ,positive
 تطبيق ممتاز، شكراً وزارة الصحة ,positive
 ممتاز الله يعطيكم العافيه ,positive
 جميل عملي ,positive
 تطبيق رائع لحجز موعد في المراكز الصحيه ,positive
 التطبيق ممتاز بارك الله فيكم شكرا جزيلا ,positive
 خدمة ممتازه ,positive
 تطبيق ممتاز جدا و مريح 🥰🥰 ,positive
 الله يجزاكم خير على هذه الخدمة الرائعة ,positive
 خدمة ممتازة وسلسه ومريحه للمراجعين ,positive
 مره سهل واضح الله يعز الدوله ويحمينا ويحميكم أبطال الصحة ,positive
 جهود تشكر عليها وزارة الصحة ,positive
 تجربة ممتازة و خدمة فريدة .....شكرا د. توفيق الربيعة وبقية منسوبي وزارة الصحة على هذه النقلة النوعية للوزارة ,positive
 تطبيق ممتاز جدا ... مع سهولة حجز موعد وتحديث مستمر لتحسين التطبيق ... كل الشكر للقائمين على التطبيق. ,positive
 ممتازة ,positive
 انصح به. تمنياتي بالنجاح الدائم ,positive
 جيد جداً ,positive
 تجربة متميزة وخدمة جيدة شكرا للقائمين عليه ,positive
 تطبيق رائع ,positive
 سهل للغاية شكراً وزارة الصحة ولكم منا وسام التميز ,positive
 عمل تشكرو عليه. سهل جدا للأستخدام ,positive
 ممتاز وسهل الاستخدام ,positive
 رائع ومميز وسهل التعامل معه. ,positive
 سرعة التعامل مع الآخرين ,positive
 رائع يشكرون عليه ,positive
 تمام الله يجزاكم كل خير ,positive
 رائعة ,positive
 ممتازة ,positive
 إبداع في سهولة الوصول و سرعة الإنجاز. ,positive
 جميل جدا جدا وسريع الرد مشاءالله 😘❤️🌷 ,positive
 شكرا ,positive
 روعه ومريح وسهل وشكرا لكل من أعده وصممه ,positive
 ماشاءالله تبارك الله مرررررا ممتاز جداجدا والله يحفظكم ويوفقكم يارب. ,positive
 ممتازة ,positive
 الله يجزيهم خير ,positive
 رائع وان كان يستحق افضل من ذلك لكن لم تسعفني لغتي بذلك ,positive
 التطبيق ممتاز ,positive
 ممتاز جدا جدا جدا جدا جدا جدا شكرا للمملكة العربية السعودية على اهتمامها بالجميع ,positive
 مبدعين ,positive
 رائعة جزاكم الله خير ,positive
 برنامج ممتاز نشكر وزارة الصحة كثير الشكر ,positive
 سهل جدا واختصار للوقت والجهد ,positive
 إبداع ,positive
 ممتازه والا الافضل ان شاء الله ,positive
 أكثر من رائعة ,positive
 تطبيق ممتاز انصح بتحميله ,positive
 هو أفضل ,positive
 البرنامج سهل وريحنا كثير ,positive
 ربي احفظ بلادنا وخادم الحرمين الشريفين الملك سلمان بن عبدالعزيز وولي العهد الامير محمد بن سلمان ,positive
 مفيد جدا يوفر الوقت و العناء شكرا لكم و إلى المزيد من التطور و التقدم ,positive
 مفيد ,positive
 سهل وسريع مشكورين ,positive
 الصراحة خدمة ممتازة وجزاكم الله عنا كل خير وصحة وعافية ودائما من تقدم الى تقدم وازدهار يارب ,positive
 ممتاز جدا لما له من فوائد كثيرة. مثل المواعيد والتي تجعلك تختار الوقت واليوم حسب ظروفك. مما يقلل من زحام المواطنين والمقيمين . ويوجد في برنامج موعد أكثر من فوائد تلبي احتياجات المواطنين منها تثقيفيه. و منها استشارات طبية. فشكراً وزارة الصحة على كل ما قدمتم. للمواطنين بشكل خاص وللمقيمين بشكل عام ,positive
 ممتازه جدا وفقكم الله ,positive
 ممتاز بشكل ممتاز بجداره ,positive
 ممتاز و مريح في حجز المواعيد ,positive
 سهل الاستخدام ,positive
 مميز ,positive
 ممتازة ,positive
 روعةةةةةةةةة ,positive
 خدمة مميزه حفظكم الله وابعد عنكم كل مكروه ,positive
 ماشاءالله تبارك الله تطبيق ممتاز ورائع وسهل ,positive
 تطبيق ممتاز، يسهل عملية حجز الموعد والحصول على الخدمة الصحية المطلوبة. شكرا لوزارة الصحة. ,positive
 الله يوفقكم ,positive
 من أروع ما يكون صراحه سهل علينا أشياء كثيرة ومفيد للأسرة شكرا وزارة الصحة 😘😘 ,positive
 جمييل جدا ,positive
 ممتازة ,positive
 جميل ,positive
 تطبيق جدأ ممتاز وسهل الاستخدام شكرآ يا وزير الصحة وكل من قام على هذة الخدمات الإلكترونية ,positive
 يوكب التطور ونأمل أن يكون هناك استشارة طبية صوت فديو من خلال الموقغ ,neutral
 شكراً لوزاره الصحة للجهد المبذول ,positive
 رائع وسهل ,positive
 برنامج ممتاز شكرا لكل العاملين فيه ,positive
 رائعه والشكر لوزارة الصحه ع التسهيلات الأكثر من رائعه ,positive
 ممتاز وسهل الاستخدام ,positive
 أنا رايح بجرب اليوم واخبركم بعدها لكن مبدئيا كل المحيطين بيمدحوا فى البرنامج ,negative
 الله يعز حكومتنا الرشيده ,negative
 مرة جميل و تروح و انك مرتاح و ضمان انك بتدخل في الوقت المحدد او قريب منه. ,positive
 تطور مستمر شكرا جزيلا ,positive
 خدمه رائعة جدا شكرا وزارة الصحة ,positive
 جزاكم الله خيرا جميعا على ما تقدموه من خدمات جعلها الله في موازين حسناتكم إن شاء الله ,positive
 جهد يشكرون عليه سهلو الكثير وخدمو الكثير تنظيم رائع ,positive
 جيدة الصعوبة حجز عيادة الأسنان ,neutral
 تعامل سهل ورعه ,positive
 اكثر من رائع ,positive
 اعجبتني التطبيق ممتاز خمسوةالنجم مساعدة موطن سجل موعد مشتفي النور التخصصي مكة المكرمة شكر تقدر ,positive
 جميل وسهل لحجز المواعيد دون الحاجه الى الذهاب إلى المركز الصحي ,positive
 نشكرا القائمين على التطبيق ونشكر وزارة الصحة على اتاحة الخدمات السهلة ,positive
 يحتاج تطوير اكثر و مواعيد متاحة في نفس اليوم ,neutral
 تطبيق ممتاز وسهل الاستخدام يوفر عليك الوقت تحجز موعدك وتأتي في الوقت اللذي يناسبك تطبيق جميل جدا ,positive
 جميل ,positive
 بارك الله في جهودكم ,positive
 تطبيق سهل الإستخدام ويختصر لنا كثيراً من الوقت / نشكر القائمين عليه ونسأل الله لنا ولهم التوفيق والنجاح 🌹 ,positive
 ممتاز وفقكم الله ,positive
 مفيدا جدا وتوفير للوقتةوخدمة أسرع ,positive
 جيد ,positive
 ممتاز جدا شكرا لكم ,positive
 بمثلها. مسوال وزاره الصحه يعمل. بماهو فوق مجال عمله الان هو السؤال الفعلي عن كثير لمعلمه يشكر ,negative
 جزاكم الله خير ,positive
 جيد احسن ,positive
 شكرراااااا ع تسهيل أمور حياتنا بعد الله ,positive
 جيد ,positive
 اكثر من رائع واختصر الزمان والمكان وسهل الاجراءات ,positive
 الموقع مفيد جدا ,positive
 منتاز البرنامج يوفر الوقت للحجز ,positive
 ارفع لكم القبعه وأتمنى لكم دوم العافية والأزدهار حفظ الله الملك سلمان بن عبدالعزيز آل سعود ولي العهد محمد بن سلمان واقول دام عزك يا وطن ودامو حكامنا بخير وسلامة ,positive
 رائع حقا كل الشكر للحكومه الرشيده، ,positive
 رايع حدا اكثر من 10مرات خدموني والخدمه مره ممتازه ,positive
 خدمة ممتازة وتطوير مستمر عمار يابلادي ,positive
 ممتاز جدا والله يبارك فيكم ,positive
 جزاك الله خير ,positive
 يسهل كل شئ ,positive
 جهود وزارة الصحة ملموسة. يشكرون عليها ,positive
 الموعد ممتاز جدا أعجبني وأرجو أن يعجبكم أيها المرضى بشكل عام تم تطويره وسار يفتح بسهوله والحمدالله ويستاهل خمس نجوم ✨ ,positive
 دام عزك يا وطن ,positive
 ممتاز سهل وواضح ,positive
 السلام عليكم التطبيق حلو بس انا سجلت كلمه المرور والمستخدم وانتقلت إلى الصفحه الثانيه وماارسلتو رمز تحقق وغير. لو سمحتو ياريت تحلون هاذي المشكله باسرع وقت ممكن ,positive
 عن جد ,negative
 افضل من ذي قبل ,positive
 يعجز اللسان عن شكر أبطال الصحه يارب أحفظهم وآبعد عنهم الأذى ,positive
 تطيبق جيد ,positive
 تطبيق ممتاز التحكم به سهل و سريع شكرآ لكم ,positive
 تطبيق ممتاز ,positive
 رائع شكرآ وزارة الصحة ,positive
 تطبيق رائع وجهد مشكور . ,positive
 تبون الصراحه شكرا لكل من ساهم في هذا العمل والله روعه معكم عبدالله الظيق اقول إلى الامام ربي يحفضكم ,positive
 ماشاء الله ,positive
 ممتازة ,positive
 جميل ,positive
 شكراً جزيلاً على هذا التطبيق الرائع ,positive
 ممتاز ومريح ,positive
 تطبيق جميل جداً ,positive
 موفقة ,positive
 ممتاز جدا وسهل التعامل ,positive
 سهولة في التعامل ,positive
 ممتاز جزاكم الله كل خير لكن تليفون الاتصال لا نستطيع أن نتصل . ,positive
 الله يبارك فيك يارب ويسعدكم ,positive
 واضح وسهل ,positive
 تطبيق ممتاز يسهل إجراءات حجز موعد التطعيمات والمقابلات اللازمة مما يسهل الحياة ويوفر الوقت ,positive
 جزاك الله خير وبارك الله فيكم على الجهود المبذولة في سبيل امن المواطن والمقيم جعله الله في ميزان حسناتكم ,positive
 شكرا ,positive
 ماشاء الله ممتاز ورائع ,positive
 م... ,positive
 ممتاز ولا اسهل يعطيكم العافيه ,positive
 ممتازة ,positive
 وزاره الصحه تسابق نفسها لله دركم ونشكركم ,positive
 مميز جدا وإلى الأمام ,positive
 جيد للمواعيد الخفيفه ,positive
 جيد ,positive
 برنامج جدا رائع ويختصر الوقت وسهل الاستخدام ,positive
 ممتاز جدا شكرا وزارة الصحة ,positive
 ‏ماهو الفرق بين المغفرة والعفو ؟ المغفرة :أن يسامحك الله على الذنب ولكنه سيبقى مسجلا في صحيفتك أما العفو:فهو مسامحتك على الذنب مع محوه من الصحيفه وكأنه لم يكن لذلك نصح رسول الله صل الله عليه وسلم أن نكثر من هذا الدعاء(اللهم إنك عفو تحب العفو فأعف عنا)ووصى به عائشة رضي الله عنها. ,positive
 رائع جداً الله يعطيكم العافية افضل تطبيق ,positive
 دقيقتين لتنزيل التطبيق وحجز الموعد..الله يجزى حكومتنا بالخير ,positive
 روعة ماشاءالله ,positive
 ممتاز وعملي ,positive
 ممتاز، نتمنى ان تنظم المستشفيات للبرنامج ويكون الحجز من التطبيق متاح للجميع. ,positive
 اجرآت سهلة و مشكورين ,positive
 مميز ,positive
 شكرا سهوله في استخدام البرنامج ,positive
 تمام ,negative
 الله يعز الدوله سهلت علينا كل شي ,positive
 الآن أنا حجزت موعد في المستوصف يبعد عنا حوالي ٣ كيلو هل احتاج الى تصريح تنقل.. ولا كيف الطريقة من أجل الذهاب إلى المستوصف علمآ بأن الحي اللي اسكنه يمنعني من الخروج من الحي الشرطة.. وايش العلم والسوات يا إخوان ,neutral
 تطبيق جدا ممناز ونشكركم ,positive
 برنامج جميل ,positive
 تطبيق جميل ,positive
 تطبيق ممتاز ,positive
 ممتاز جداً ,positive
 ممتاز جدا الله يجزاهم عنا خير الجزاء ,positive
 حلو جدآ خدمه سريعه تختصر الروحه والجيه احجز موعدك وتعال ب الوقت اللي يناسبك ,positive
 شكرا لكم ,positive
 ممتازة وخدمه رائعه ,positive
 شكرا وزارة الصحه ,positive
 روعة ,positive
 مشاءالله تبارك الله ,positive
 بعض اشياء صعبت علي لانه انا مستخدم جديد بس روعه معملومه جميله ,positive
 تطبيق مفيد وسهل ورائع ,positive
 بس لما اجي للمركز لازم يسجلون معلوماتي ورقيا ليه مايتم الطباعة حسب بيانات الموعد ,neutral
 جيد جداً ,positive
 ممتاز جدا الله يسعدكم ,positive
 تطبيق ممتاز جدا اختصر مسافات كثيره ومكننا من الاستفادة من المراكز الصحية الأولية المنتشرة في الأحياء، وابعد التعقيدات السابقة هات صك البيت او عقد ايجار علشان نفتح لك ملف، سابقا ماتقدر تراجع الا المركز اللي بالحي حاليا ممكن تحجز باي مركز دون تعقيد ,positive
 تطبيق جميل وفعّال وسلس ومفيد جداً ويختصر كثير من الوقت والجهد. جزاكم الله خير وزارة الصحة ❤️ ,positive
 شكرا لكم ياوزارة الصحة جهد جبار ,positive
 التجربه ممتازه وأقول إله الله يوفقكم ,positive
 عال العال ,positive
 رائع وسهل الاستخدام والي الامام ,positive
 جميل ومريح ,positive
 ممتاز نشكر وزارة الصحة على تسهيل الامور للمواطنين ,positive
 ممتاز جدا جزاك الله خير ,positive
 شكراً للتسهيل ,positive
 اكثر من رائع ,positive
 برنامج ممتاز ومريح للجميع جزاكم الله على هذا العمل ,positive
 تمام ,negative
 الحمدلله عمل ممتاز وتطبيق رائع ,positive
 فنان ,positive
 تطبيق رائع ونتمنى تفعيله من قبل موظفي الصحة ,positive
 تطبيق جيد ومريح ويسهل لك والعائلة كل الا اجرات الصحيه ,positive
 ممتازة ,positive
 اكثر من ممتاذ ,negative
 برنامج بطل وجداً ممتاز ومفيد ألف ورده ,positive
 خدمة ممتازه وجباره ,positive
 الله يعطيكم العافية ,positive
 خدمات جليلة جبارة غير موجودة في امريكا حتى ,positive
 تمام ,negative
 جيد ,positive
 ممتاز جداً ,positive
 خدمة ممتاااازة ,neutral
 ممتاز جدا يعطيكم العافية ,positive
 تطبيق عن الف تطبيق سهوله تامه في الدخول عن طريق البصمه وسهولة وسلاسه بجميع الخدمات جزاكم الله خير الجزاء ,neutral
 ممتازة ,positive
 مميزة ,positive
 خدمة ممتازة ومريحة جدا ,positive
 تطبيق ممتاز ,positive
 ممتااااااز وسهل إلإستخدام 👍 ,positive
 ممتاز جداً ,positive
 جزاكم الله خير ,positive
 جزاكم الله الخير كله ,positive
 ممتاز وعملي ,positive
 جيد ,positive
 ممتاز وسلس ,positive
 ممتاز انا جربته يعطيكم العافيه و الله يحفظك مملكتنا وسائر البلدان ,positive
 جيد ,positive
 تطبيق جدا مفيد وقيم وفر لنا وقت واراحنا من جهد الإنتظار. ,positive
 ممتاز جداً ,positive
 تطبيق ممتاز شكرا لوزارة الصحه ,positive
 تسهيل عملية الحجز واختيار الموعد المناسب ,positive
 سريع وعملي ,positive
 تطبيق جميل جدآ وسهل الاستخدام ,positive
 مزيد من التقدم والنجاح ربنا يوفقك ,positive
 شكر وزاره الصحه السعوديه جزاكم الله خيرا👍❤❤❤🇸🇦🇪🇬🇸🇦🇪🇬🇸🇦🇪🇬🇸🇦🇪🇬🇸🇦❤❤🇸🇦🇸🇦🇪🇬🇪🇬 ,positive
 تطبيق ممتاز ,positive
 مميزة ,positive
 جيدة جدا ,positive
 ممتاز جداً ,positive
 روعة ,positive
 سهل الاستخدام ,positive
 تطبيق ممتاز وشامل ,positive
 ممتاز ويختصر الوقت ,positive
 ممتاز...شكرا ,positive
 خدمات موفقه وعساكم على القوه ,positive
 ماشاءالله تطبيق ممتاز وسهل على الناس كثير جزاكم الله خير ,positive
 مممممم. تتتتتتتتتت. ااااااااااااا. زززززززززز ,negative
 جدا شكرا ,positive
 تطبيق مريح و رائع رائع رائع مهما تحدثت عنه لن اوفيه حقه من الإعجاب تقييمي له ممتاز ب5 نجوم ,positive
 ممتاز جدا يوفر الوقت والاتصال. ,positive
 برنامج رائع تشكرون عليه ,positive
 ربي ديمها نعمه على الجميع الصحه ,positive
 ممتاز وسهل التعامل سلس كل التوفيق ,positive
 ممتاز ,positive
 تحت التجربة ,negative
 رائع وسهل ,positive
 من أفضل التطبيقات ,positive
 أجمل تطبيق شكراً وزارة الصحة ,positive
 كلنا وطن ,positive
 الله يقويكم وجزاكم الله خير ,positive
 خدمات جداً جميل وجهود مبذوله من المملكة نحو تطوير جدا جميل في المملكة العربية السعودية ,positive
 تطبيق أكثر من رائع ويختصر كثير من الوقت والجهد ,positive
 برنامج راااائع جداً ,positive
 جميل جداً ,positive
 الله يوفقكم والأفضل أن شالله ,positive
 رائع جدآ وشكرآ لوزير الصحة الاستاذ توفيق الربيعة ,positive
 جزاكم الله خير على ما تقدمون من خدمات جليلة ,positive
 تطبيق ممتاز جدا وسلس لكن لو ترجمت بعض الكلمات وهي قليله جدا صله الغرابه ,positive
 رائع.. تشكر وزارة الصحة على الخدمة الرائعة السهلة، شكرا خادم الحرمين الشريفين الملك سلمان، شكرا ولي العهد محمد بن سلمان، على الخدمات الصحية الرائعة لخدمة المواطن والمقيم. جزاكم الله خيرا. شكرا وزير الصحة د. توفيق الربيعة . ,positive
 سهل ومفيد جداً ,positive
 بتوفيق ,positive
 تطبيق ممتاز جدا .. شكرا لكم ,positive
 شكرا ,positive
 عملي ومنظم ,positive
 شكرا لخدماتكم ,positive
 مميز ,positive
 جيدة جدا ,positive
 تطييق ممتاز ونشكر وزاره الصحة على هذه الخدمه . ,positive
 بارك الله في القائمين على الصحة في المملكة العربية السعودية ,positive
 خدمه ممتازه ونطمح في الافضل ,positive
 جدا اكثر من رائع.. شكرا لكم ,positive
 جدا رائع وانصح بتحميله لهوات البراري والسفر والسياحه ,positive
 سهل ويريح المواطن من عناء الذهاب بدون فائدة والحضور على الموعد ولكن فيه عيادات ما تقبل وهل لو حضر المواطن لعيادة في التطبيق مقفلة راح يستقبل اذا كانت حالته ليست طوارئ وتخلف أصحاب مواعيد مؤكدة وماهو الإجراء مع من يحجز ثم لم يحضر وتكرر ذلك منه أكثر من مره ,neutral
 اللهمَّ صَلِّ وَسَـــلِّمْ وَبَارِك ْعلى نَبِيِّنَــا مُحمَّد عدد ماذكره الذاكرون وصَلِّ وَسَـــلِّمْ وَبَارِك ْعلى نَبِيِّنَــا مُحمَّد عدد ماغفل عنه الغافلون. ,neutral
 ممتازة ,positive
 برنامج أكثر من رائع ,positive
 تطبيق ممتاز ,positive
